benchmark,time,runs,noReload,workers,isolation,sites,engine,initialOpsPerStructure,itemsPerStructure,operation,rt,tps,ct,ar,rtP95
micro,0,1,true,1,n/a,2,riak,100,100000,mapGet,NaN,0.000,0,NaN,NaN
micro,0,1,true,1,n/a,2,riak,100,100000,setGet,NaN,0.000,0,NaN,NaN
micro,0,1,true,1,n/a,2,riak,100,100000,mapContains,NaN,0.000,0,NaN,NaN
micro,0,1,true,1,n/a,2,riak,100,100000,registerSet,NaN,0.000,0,NaN,NaN
micro,0,1,true,1,n/a,2,riak,100,100000,total,0.004626,215.731,100000,0.000000,0.005902
micro,0,1,true,1,n/a,2,riak,100,100000,mapAdd,0.004626,215.731,100000,0.000000,0.005902
micro,0,1,true,1,n/a,2,riak,100,100000,counterGet,NaN,0.000,0,NaN,NaN
micro,0,1,true,1,n/a,2,riak,100,100000,registerGet,NaN,0.000,0,NaN,NaN
micro,0,1,true,1,n/a,2,riak,100,100000,mapValue,NaN,0.000,0,NaN,NaN
micro,0,1,true,1,n/a,2,riak,100,100000,setContains,NaN,0.000,0,NaN,NaN
micro,0,1,true,1,n/a,2,riak,100,100000,setAdd,NaN,0.000,0,NaN,NaN
micro,0,1,true,1,n/a,2,riak,100,100000,setRmv,NaN,0.000,0,NaN,NaN
micro,0,1,true,1,n/a,2,riak,100,100000,counterDec,NaN,0.000,0,NaN,NaN
micro,0,1,true,1,n/a,2,riak,100,100000,counterInc,NaN,0.000,0,NaN,NaN
micro,0,1,true,1,n/a,2,riak,100,100000,mapRmv,NaN,0.000,0,NaN,NaN
