benchmark,time,runs,noReload,workers,isolation,sites,engine,items,mergeBatchSize,mergeDelta,mergeParallelism,nestingLevel,readMode,writeMode,operation,rt,tps,ct,ar,rtP95
nested,60,3,true,1,RC,1,crdv-sync,100000,100,1,1,1,local,sync,read,0.000114,2690.067,145264,0.000000,0.000382
nested,60,3,true,1,RC,1,crdv-sync,100000,100,1,1,1,local,sync,explain,NaN,0.000,0,1.000000,NaN
nested,60,3,true,1,RC,1,crdv-sync,100000,100,1,1,1,local,sync,total,0.000114,2690.067,145264,0.499704,0.000382
nested,60,3,true,1,RC,1,crdv-sync,100000,100,1,1,2,local,sync,read,0.000174,1495.663,80766,0.000000,0.000447
nested,60,3,true,1,RC,1,crdv-sync,100000,100,1,1,2,local,sync,explain,NaN,0.000,0,1.000000,NaN
nested,60,3,true,1,RC,1,crdv-sync,100000,100,1,1,2,local,sync,total,0.000174,1495.663,80766,0.501042,0.000447
nested,60,3,true,1,RC,1,crdv-sync,100000,100,1,1,3,local,sync,read,0.000209,1106.495,59751,0.000000,0.000477
nested,60,3,true,1,RC,1,crdv-sync,100000,100,1,1,3,local,sync,explain,NaN,0.000,0,1.000000,NaN
nested,60,3,true,1,RC,1,crdv-sync,100000,100,1,1,3,local,sync,total,0.000209,1106.495,59751,0.500157,0.000477
nested,60,3,true,1,RC,1,crdv-sync,100000,100,1,1,4,local,sync,explain,NaN,0.000,0,1.000000,NaN
nested,60,3,true,1,RC,1,crdv-sync,100000,100,1,1,4,local,sync,total,0.000236,903.388,48783,0.498709,0.000493
nested,60,3,true,1,RC,1,crdv-sync,100000,100,1,1,4,local,sync,read,0.000236,903.388,48783,0.000000,0.000493
nested,60,3,true,1,RC,1,crdv-sync,100000,100,1,1,5,local,sync,total,0.000241,783.094,42287,0.500251,0.000509
nested,60,3,true,1,RC,1,crdv-sync,100000,100,1,1,5,local,sync,explain,NaN,0.000,0,1.000000,NaN
nested,60,3,true,1,RC,1,crdv-sync,100000,100,1,1,5,local,sync,read,0.000241,783.094,42287,0.000000,0.000509
nested,60,3,true,1,RC,1,crdv-sync,100000,100,1,1,6,local,sync,read,0.000257,676.825,36549,0.000000,0.000533
nested,60,3,true,1,RC,1,crdv-sync,100000,100,1,1,6,local,sync,explain,NaN,0.000,0,1.000000,NaN
nested,60,3,true,1,RC,1,crdv-sync,100000,100,1,1,6,local,sync,total,0.000257,676.825,36549,0.498351,0.000533
nested,60,3,true,1,RC,1,crdv-sync,100000,100,1,1,7,local,sync,read,0.000303,566.698,30602,0.000000,0.000585
nested,60,3,true,1,RC,1,crdv-sync,100000,100,1,1,7,local,sync,explain,NaN,0.000,0,1.000000,NaN
nested,60,3,true,1,RC,1,crdv-sync,100000,100,1,1,7,local,sync,total,0.000303,566.698,30602,0.499306,0.000585
nested,60,3,true,1,RC,1,crdv-sync,100000,100,1,1,8,local,sync,read,0.000323,496.657,26820,0.000000,0.000617
nested,60,3,true,1,RC,1,crdv-sync,100000,100,1,1,8,local,sync,explain,NaN,0.000,0,1.000000,NaN
nested,60,3,true,1,RC,1,crdv-sync,100000,100,1,1,8,local,sync,total,0.000323,496.657,26820,0.500490,0.000617
nested,60,3,true,1,RC,1,crdv-sync,100000,100,1,1,9,local,sync,explain,NaN,0.000,0,1.000000,NaN
nested,60,3,true,1,RC,1,crdv-sync,100000,100,1,1,9,local,sync,read,0.000343,435.856,23537,0.000000,0.000625
nested,60,3,true,1,RC,1,crdv-sync,100000,100,1,1,9,local,sync,total,0.000343,435.856,23537,0.500178,0.000625
nested,60,3,true,1,RC,1,crdv-sync,100000,100,1,1,10,local,sync,read,0.000368,384.921,20786,0.000000,0.000656
nested,60,3,true,1,RC,1,crdv-sync,100000,100,1,1,10,local,sync,explain,NaN,0.000,0,1.000000,NaN
nested,60,3,true,1,RC,1,crdv-sync,100000,100,1,1,10,local,sync,total,0.000368,384.921,20786,0.500469,0.000656
