benchmark,time,runs,noReload,workers,isolation,sites,items,ops,schema,simulatedSites,size,rt,tps,ct,ar,rtP95
timestampEncoding,30,1,true,1,RC,1,1000,1000,row,1,217890816,0.000739,1348.077,32355,0.000000,0.002626
timestampEncoding,30,1,true,1,RC,1,1000,1000,row,2,302907392,0.000848,1174.229,28182,0.000000,0.002728
timestampEncoding,30,1,true,1,RC,1,1000,1000,row,4,446283776,0.000898,1109.480,26628,0.000000,0.002690
timestampEncoding,30,1,true,1,RC,1,1000,1000,row,6,596779008,0.001169,852.830,20468,0.000000,0.002606
timestampEncoding,30,1,true,1,RC,1,1000,1000,row,8,739270656,0.001328,750.840,18021,0.000000,0.002728
timestampEncoding,30,1,true,1,RC,1,1000,1000,row,10,890257408,0.001535,650.124,15603,0.000000,0.002789
timestampEncoding,30,1,true,1,RC,1,1000,1000,row,12,1032519680,0.001781,560.439,13451,0.000000,0.002878
timestampEncoding,30,1,true,1,RC,1,1000,1000,row,14,1181327360,0.002369,421.496,10116,0.000000,0.004126
timestampEncoding,30,1,true,1,RC,1,1000,1000,row,16,1324326912,0.002452,407.115,9771,0.000000,0.004300
timestampEncoding,30,1,true,1,RC,1,1000,1000,array,1,109240320,0.000703,1416.812,34006,0.000000,0.002624
timestampEncoding,30,1,true,1,RC,1,1000,1000,array,2,123641856,0.000746,1335.705,32057,0.000000,0.002587
timestampEncoding,30,1,true,1,RC,1,1000,1000,array,4,153272320,0.000727,1370.323,32888,0.000000,0.002503
timestampEncoding,30,1,true,1,RC,1,1000,1000,array,6,182763520,0.000737,1350.890,32422,0.000000,0.002474
timestampEncoding,30,1,true,1,RC,1,1000,1000,array,8,211943424,0.000775,1286.322,30873,0.000000,0.002488
timestampEncoding,30,1,true,1,RC,1,1000,1000,array,10,252133376,0.000810,1229.879,29518,0.000000,0.002492
timestampEncoding,30,1,true,1,RC,1,1000,1000,array,12,268591104,0.000842,1183.661,28409,0.000000,0.002501
timestampEncoding,30,1,true,1,RC,1,1000,1000,array,14,299466752,0.000908,1097.120,26331,0.000000,0.002586
timestampEncoding,30,1,true,1,RC,1,1000,1000,array,16,331038720,0.001023,974.634,23392,0.000000,0.002666
timestampEncoding,30,1,true,1,RC,1,1000,1000,json,1,109395968,0.000627,1587.114,38092,0.000000,0.002424
timestampEncoding,30,1,true,1,RC,1,1000,1000,json,2,132300800,0.000695,1433.801,34413,0.000000,0.002548
timestampEncoding,30,1,true,1,RC,1,1000,1000,json,4,177553408,0.000813,1224.534,29390,0.000000,0.002678
timestampEncoding,30,1,true,1,RC,1,1000,1000,json,6,222871552,0.000789,1262.955,30311,0.000000,0.002595
timestampEncoding,30,1,true,1,RC,1,1000,1000,json,8,268419072,0.000863,1154.058,27700,0.000000,0.002731
timestampEncoding,30,1,true,1,RC,1,1000,1000,json,10,329736192,0.000916,1088.555,26127,0.000000,0.002682
timestampEncoding,30,1,true,1,RC,1,1000,1000,json,12,366518272,0.000961,1037.622,24903,0.000000,0.002709
timestampEncoding,30,1,true,1,RC,1,1000,1000,json,14,421412864,0.001060,940.103,22563,0.000000,0.002736
timestampEncoding,30,1,true,1,RC,1,1000,1000,json,16,472211456,0.001170,852.104,20452,0.000000,0.002757
timestampEncoding,30,1,true,1,RC,1,1000,1000,cube,1,241328128,0.000775,1285.195,30846,0.000000,0.002678
timestampEncoding,30,1,true,1,RC,1,1000,1000,cube,2,295829504,0.000818,1218.036,29234,0.000000,0.002704
timestampEncoding,30,1,true,1,RC,1,1000,1000,cube,4,399974400,0.000894,1114.272,26745,0.000000,0.002780
timestampEncoding,30,1,true,1,RC,1,1000,1000,cube,6,527392768,0.000851,1170.787,28100,0.000000,0.002654
timestampEncoding,30,1,true,1,RC,1,1000,1000,cube,8,659120128,0.000923,1079.158,25900,0.000000,0.002739
timestampEncoding,30,1,true,1,RC,1,1000,1000,cube,10,771973120,0.000906,1099.238,26382,0.000000,0.002675
timestampEncoding,30,1,true,1,RC,1,1000,1000,cube,12,887521280,0.000958,1040.096,24963,0.000000,0.002658
timestampEncoding,30,1,true,1,RC,1,1000,1000,cube,14,986603520,0.001023,974.523,23389,0.000000,0.002715
timestampEncoding,30,1,true,1,RC,1,1000,1000,cube,16,1097121792,0.001079,923.803,22173,0.000000,0.002733
