nestingLevel,type,time,p95
1,plan,0.000121,0.000145
1,exec,0.000045,0.000055
1,plan + exec,0.000166,0.000143
1,real,0.000419,0.000729
2,plan,0.000221,0.000265
2,exec,0.000067,0.000082
2,plan + exec,0.000288,0.000259
2,real,0.000558,0.000836
3,plan,0.000317,0.000374
3,exec,0.000082,0.000097
3,plan + exec,0.000399,0.000361
3,real,0.000556,0.000834
4,plan,0.000428,0.000485
4,exec,0.000103,0.000115
4,plan + exec,0.000531,0.000473
4,real,0.000591,0.000868
5,plan,0.000543,0.000607
5,exec,0.000123,0.000135
5,plan + exec,0.000665,0.000594
5,real,0.000624,0.000900
6,plan,0.000671,0.000739
6,exec,0.000140,0.000157
6,plan + exec,0.000811,0.000724
6,real,0.000668,0.000934
7,plan,0.000822,0.000896
7,exec,0.000160,0.000174
7,plan + exec,0.000982,0.000879
7,real,0.000653,0.000928
8,plan,0.000972,0.001057
8,exec,0.000177,0.000196
8,plan + exec,0.001148,0.001038
8,real,0.000662,0.000939
9,plan,0.001150,0.001240
9,exec,0.000196,0.000221
9,plan + exec,0.001346,0.001218
9,real,0.000736,0.000990
10,plan,0.001329,0.001421
10,exec,0.000214,0.000240
10,plan + exec,0.001543,0.001403
10,real,0.000729,0.001000
